OBJECTID,IDESTACION,FECHAACTUAL,MODO,CODIGOESTACION,DENOMINACION,OBSERVACIONES,SITUACION,CODIGOCTMESTACIONREDMETRO,CODIGOEMPRESA,DENOMINACIONABREVIADA,MODOINTERCAMBIADOR,CODIGOINTERCAMBIADOR,TIPO,CODIGOPROVINCIA,CODIGOMUNICIPIO,CODIGOENTIDAD,CODIGONUCLEO,CODIGOVIA,TIPOVIA,PARTICULA,NOMBREVIA,TIPONUMERO,NUMEROPORTAL,CALIFICADORPORTAL,CARRETERA,CODIGOPOSTAL,DISTRITO,SECCIONCENSAL,BARRIO,TESELA,SECTORURBANO,SECTOR,CORREDOR,CORONATARIFARIA,CORONA123,ZONATRANSPORTE,ENCUESTADOMICILIARIA,ENCUESTAAFOROS,HOJA25000,ACONDICIONAMIENTOVIAJEROS,ACONDICIONAMIENTOVEHICULOS,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,GRADOACCESIBILIDAD,SITUACIONCALLE,DENOMINACION_SAE,INTERURBANOS_CODIGOEMT_CRTM,INTERURBANOS_CODIGOEMT_EMPRESA
24,10_11,20150709,10,11,PRADO DE LA VEGA,Superficie,S,11,,,93,416,U,28,115,11520,1152099,A0131,Ctra, ,Carabanchel (M-502),N,63,,,28223,01,018,,T115862,1152099999,,6,B1,3,115-018,1005,,559-3,2,3,20070220,20070726,,433818,4472910,T,,,,
25,10_29,20150709,10,29,MONTEPRINCIPE,Subterránea,I,29,,,93,409,U,28,007,00707,0070701,02619,Avda,del,Montepríncipe,N,1,,,28925,01,015,,T0071,0070701001,,5,B1,3,007-001,644,,559-3,2,3,20070221,20070401,,429181,4472467,T,,,,
26,10_30,20150709,10,30,VENTORRO DEL CANO,Con Calle Valdelaguna,S,30,,,93,427,U,28,007,00704,0070499,C0019,Avda,del,Tranvía,SN,SN,,,28925,01,015,,T00717,,,5,B1,3,007-001,644,,559-3,2,3,20070221,20070726,,428981,4472056,T,,,,
27,10_31,20150709,10,31,PRADO DEL ESPINO,Superficie,S,31,,,93,417,U,28,022,02211,0221101,C0003,Calle, ,Labradores,N,1,,,28660,01,008,,T022405,0221101001,,5,B2,3,022-008,957,,559-3,2,3,20070221,20070726,,428165,4472154,T,,,,
28,10_33,20150709,10,33,FERIAL DE BOADILLA,Superficie,S,33,,,93,398,U,28,022,02201,0220199,A0020,Ctra,de,Boadilla-Villaviciosa,N,13,A,,28660,01,008,,T022357,0220199999,,5,B2,3,022-005,954,,558-4,2,3,20070221,20070726,,425487,4472951,T,,,,
29,10_34,20150709,10,34,BOADILLA CENTRO,Superficie,S,34,,,93,387,U,28,022,02201,0220101,A0018,Ctra,de,Boadilla-Majadahonda,N,40,,,28660,01,006,,T022262,0220101004,,5,B2,3,022-006,955,,558-4,2,3,20070221,20070726,,425437,4473526,T,,,,
30,10_35,20150709,10,35,NUEVO MUNDO,Superficie,S,35,,,93,410,U,28,022,02201,0220101,00549,Avda,del,Nuevo Mundo,N,6,B,,28660,01,012,,T022307,0220101019,,5,B2,3,022-006,955,,558-4,2,3,20070221,20070726,,424950,4473365,T,,,,
31,10_37,20150709,10,37,INFANTE DON LUIS,Superficie,S,37,,,93,401,U,28,022,02201,0220101,00561,Avda,del,Siglo XXI,N,11,,,28660,01,014,,T022265,0220101023,,5,B2,3,022-007,956,,558-4,2,3,20070221,20070726,,423962,4473409,T,,,,
32,10_38,20150709,10,38,PUERTA DE BOADILLA,Superficie,S,38,,,93,419,U,28,022,02212,0221299,99999,Avda, ,Siglo XXI,SN,SN,,,28660,01,014,,T022207,0221299999,,5,B2,3,022-007,956,,558-4,2,3,20070221,20070726,,423423,4473617,T,,,,
33,10_52,20150709,10,52,LA BALLENA,Zona Verde perpendicular a Calle Real a la altura del nº94,S,52,BAYE,,93,407,U,28,106,10601,1060102,00113,Calle, ,Real,N,94,,,,01,026,,T10630,1060102012,,4,B2,3,106-006,820,,582-3,2,3,20070607,20070605,,434929,4455549,T,,,,
34,10_25,20150709,10,25,CIUDAD DE LA IMAGEN,Superficie,S,25,,,93,391,U,28,115,11520,1152099,A0392,Calle, ,Juan de Orduña,N,4,,,28223,01,018,,T115879,1152099999,,6,B1,3,115-022,1009,,559-3,2,3,20070221,20070726,,433577,4472334,T,,,,
35,10_27,20150709,10,27,CIUDAD DEL CINE,Superficie,S,27,,,93,392,U,28,115,11520,1152001,A0386,Calle, ,José Isbert,N,20,,,28223,01,018,,T115895,1152001002,,6,B1,3,115-022,1009,,559-3,2,3,20070221,20070726,,432592,4472061,T,,,,
36,10_28,20150709,10,28,RETAMARES,Superficie,S,28,,,93,420,U,28,115,11522,1152299,A0108,Ctra, ,Boadilla-Carabanchel (M-511),SN,SN,,,28223,01,018,,T115815,1152299999,,6,B1,3,115-021,1008,,559-3,2,3,20070221,20070726,,430799,4472540,T,,,,
37,10_6,20150709,10,6,BLASCO IBAÑEZ,Subterránea,I,6,5116,,93,386,U,28,079,07901,0790101,46006,Calle,del,Príncipe Carlos,N,50,,,28050,16,091,166,T079924,0790101988,,7,A,2,079-16-433,433,,559-2,2,3,20070220,20070401,,444532,4482967,T,,,,
38,10_8,20150709,10,8,PALAS DE REY,Superficie,S,8,5118,,93,411,U,28,079,07901,0790199,45764,Calle,de,Palas de Rey,N,18,A,,28050,08,128,086,T079467,0790199999,,7,A,2,079-08-152,152,,534-4,2,3,20070220,20070401,,443760,4484278,T,,,,
39,10_13,20150709,10,13,PRADO DEL REY,Superficie,S,13,,,93,418,U,28,115,11523,1152301,03224,Avda, ,Radio y Televisión,N,4,,,28223,01,018,,T115792,1152301003,,6,B1,3,115-020,1007,,559-3,2,3,20070220,20070726,,433294,4473822,T,,,,
40,10_15,20150709,10,15,SOMOSAGUAS CENTRO,Superficie,S,15,,,93,423,U,28,115,11523,1152301,A0131,Ctra, ,Carabanchel (M-502),N,36,,,28223,01,006,,T115683,1152301010,,6,B1,3,115-017,1004,,559-1,2,3,20070220,20070726,,432348,4474818,T,,,,
